leuk_attr apop_attr apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
L2.14 A4.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.4 1 1 1 1 1 0 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.14 A4.5 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.6 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A4.14 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.1 1 1 1 1 1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.2 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.4 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.14 A5.5 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.14 A5.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.7 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.14 A6.1 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 1 -1 -1 0 1
L2.14 A6.2 1 1 1 1 1 1 1 -1 -1 1 -1 1 0 -1 1 -1 -1 0 1
L2.14 A6.3 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 0 0
L2.14 A6.4 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.14 A6.5 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.14 A6.6 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.14 A6.7 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.14 A6.8 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.14 A6.9 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.14 A6.10 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.15 A1.1 0 1 1 1 1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.4 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.5 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.6 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.7 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A1.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.1 0 1 1 1 1 0 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.15 A2.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.4 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.5 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.6 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.7 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.8 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.9 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.10 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A2.11 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.1 0 1 0 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.4 0 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.5 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.6 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A3.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.1 0 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.4 0 1 1 1 1 0 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.15 A4.5 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.6 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A4.14 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.1 0 1 1 1 1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.2 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.4 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.15 A5.5 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.15 A5.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.7 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.15 A6.1 0 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 1 -1 -1 0 1
L2.15 A6.2 0 1 1 1 1 1 1 -1 -1 1 -1 1 0 -1 1 -1 -1 0 1
L2.15 A6.3 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 0 0
L2.15 A6.4 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.15 A6.5 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.15 A6.6 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.15 A6.7 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.15 A6.8 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.15 A6.9 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.15 A6.10 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.16 A1.1 0 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.4 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.5 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.6 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.7 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A1.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.1 0 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.16 A2.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.3 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.4 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.5 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.6 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.7 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.8 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.9 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.10 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A2.11 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.1 0 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.4 0 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.5 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.6 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A3.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.1 0 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.2 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.4 0 1 1 1 1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.16 A4.5 1 1 1 1 1 0 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.6 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A4.14 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.1 0 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.2 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.4 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.16 A5.5 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.16 A5.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.7 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.16 A6.1 0 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 1 -1 -1 0 1
L2.16 A6.2 0 1 1 1 1 1 1 -1 -1 1 -1 1 0 -1 1 -1 -1 0 1
L2.16 A6.3 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 0 0
L2.16 A6.4 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.16 A6.5 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.16 A6.6 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.16 A6.7 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.16 A6.8 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.16 A6.9 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.16 A6.10 1 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 -1 -1 1 1
L2.17 A1.1 1 1 1 1 1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.4 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.5 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.6 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.7 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A1.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.1 1 1 1 1 1 0 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.17 A2.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.4 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.5 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.6 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.7 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.8 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.9 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.10 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A2.11 1 1 1 1 1 1 0 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.1 1 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.4 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.5 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.6 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A3.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.1 1 1 1 1 1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.3 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.4 1 1 1 1 1 0 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.17 A4.5 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.6 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.7 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.8 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.9 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.10 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.11 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.12 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.13 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A4.14 1 1 1 1 1 1 -1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.1 1 1 1 1 1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.2 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.4 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.17 A5.5 1 1 1 1 1 1 0 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 1
L2.17 A5.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.7 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.8 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.9 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.10 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.11 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.12 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.13 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.14 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
L2.17 A5.15 1 1 1 1 1 1 1 0 -1 1 -1 1 -1 -1 -1 -1 -1 -1 1
